2025-12-20T14:21:19.035+07:00  INFO 5576 --- [petties] [restartedMain] com.petties.petties.PettiesApplication   : Starting PettiesApplication using Java 21.0.9 with PID 5576 (D:\SEP490\petties\backend-spring\petties\target\classes started by TAN in D:\SEP490\petties)
2025-12-20T14:21:19.039+07:00 DEBUG 5576 --- [petties] [restartedMain] com.petties.petties.PettiesApplication   : Running with Spring Boot v3.4.0, Spring v6.2.0
2025-12-20T14:21:19.049+07:00  INFO 5576 --- [petties] [restartedMain] com.petties.petties.PettiesApplication   : The following 1 profile is active: "dev"
2025-12-20T14:21:19.224+07:00  INFO 5576 --- [petties] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-12-20T14:21:19.225+07:00  INFO 5576 --- [petties] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-12-20T14:21:23.221+07:00  INFO 5576 --- [petties] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-20T14:21:23.228+07:00  INFO 5576 --- [petties] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-20T14:21:23.685+07:00  INFO 5576 --- [petties] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 430 ms. Found 3 JPA repository interfaces.
2025-12-20T14:21:23.720+07:00  INFO 5576 --- [petties] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-20T14:21:23.728+07:00  INFO 5576 --- [petties] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-12-20T14:21:23.789+07:00  INFO 5576 --- [petties] [restartedMain] .RepositoryConfigurationExtensionSupport : Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.petties.petties.repository.BlacklistedTokenRepository; If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository
2025-12-20T14:21:23.795+07:00  INFO 5576 --- [petties] [restartedMain] .RepositoryConfigurationExtensionSupport : Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.petties.petties.repository.RefreshTokenRepository; If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository
2025-12-20T14:21:23.810+07:00  INFO 5576 --- [petties] [restartedMain] .RepositoryConfigurationExtensionSupport : Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.petties.petties.repository.UserRepository; If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository
2025-12-20T14:21:23.816+07:00  INFO 5576 --- [petties] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 83 ms. Found 0 MongoDB repository interfaces.
2025-12-20T14:21:23.845+07:00  INFO 5576 --- [petties] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-20T14:21:23.852+07:00  INFO 5576 --- [petties] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-20T14:21:23.889+07:00  INFO 5576 --- [petties] [restartedMain] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.petties.petties.repository.BlacklistedTokenRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-12-20T14:21:23.893+07:00  INFO 5576 --- [petties] [restartedMain] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.petties.petties.repository.RefreshTokenRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-12-20T14:21:23.895+07:00  INFO 5576 --- [petties] [restartedMain] .RepositoryConfigurationExtensionSupport : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.petties.petties.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2025-12-20T14:21:23.899+07:00  INFO 5576 --- [petties] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
